treino_id,unique_id,ds,y,y_pred,diferença_%,flag,dataset,modelo,comentario,data_treino
V43_cluster_0_2017,Aguanil,2016-12-31T00:00:00,1.8001537279016138,0.94714844,47.39,validacao,V44,LSTM,"./Treinos/16_12_2025_significancia_features/Modelos/V43_cluster_0_2017_(2017)
Modelo LSTM. Treino: 2012 a 2015. Validação: 2016. Teste: 2017.
Dataset: V44.
Obs: 16_12_2025: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 150 combinações de taxa de aprendizado.
O dataset usado contem os 5 clusters.

Hyperparams:
input_size: -1h: 1lr: 1.0085513452139397e-05batch: 32encoder n layers: 4decoder layers: 1",2025-12-16T00:59:44
V43_cluster_0_2017,Alfenas,2016-12-31T00:00:00,2.249930394431555,1.4705437,34.64,validacao,V44,LSTM,"./Treinos/16_12_2025_significancia_features/Modelos/V43_cluster_0_2017_(2017)
Modelo LSTM. Treino: 2012 a 2015. Validação: 2016. Teste: 2017.
Dataset: V44.
Obs: 16_12_2025: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 150 combinações de taxa de aprendizado.
O dataset usado contem os 5 clusters.

Hyperparams:
input_size: -1h: 1lr: 1.0085513452139397e-05batch: 32encoder n layers: 4decoder layers: 1",2025-12-16T00:59:44
V43_cluster_0_2017,Alto_Caparao,2016-12-31T00:00:00,2.1,1.3349755,36.43,validacao,V44,LSTM,"./Treinos/16_12_2025_significancia_features/Modelos/V43_cluster_0_2017_(2017)
Modelo LSTM. Treino: 2012 a 2015. Validação: 2016. Teste: 2017.
Dataset: V44.
Obs: 16_12_2025: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 150 combinações de taxa de aprendizado.
O dataset usado contem os 5 clusters.

Hyperparams:
input_size: -1h: 1lr: 1.0085513452139397e-05batch: 32encoder n layers: 4decoder layers: 1",2025-12-16T00:59:44
V43_cluster_0_2017,Alto_Jequitiba,2016-12-31T00:00:00,1.32,1.383605,4.82,validacao,V44,LSTM,"./Treinos/16_12_2025_significancia_features/Modelos/V43_cluster_0_2017_(2017)
Modelo LSTM. Treino: 2012 a 2015. Validação: 2016. Teste: 2017.
Dataset: V44.
Obs: 16_12_2025: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 150 combinações de taxa de aprendizado.
O dataset usado contem os 5 clusters.

Hyperparams:
input_size: -1h: 1lr: 1.0085513452139397e-05batch: 32encoder n layers: 4decoder layers: 1",2025-12-16T00:59:44
V43_cluster_0_2017,Amparo_do_Serra,2016-12-31T00:00:00,1.2,1.0342928,13.81,validacao,V44,LSTM,"./Treinos/16_12_2025_significancia_features/Modelos/V43_cluster_0_2017_(2017)
Modelo LSTM. Treino: 2012 a 2015. Validação: 2016. Teste: 2017.
Dataset: V44.
Obs: 16_12_2025: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 150 combinações de taxa de aprendizado.
O dataset usado contem os 5 clusters.

Hyperparams:
input_size: -1h: 1lr: 1.0085513452139397e-05batch: 32encoder n layers: 4decoder layers: 1",2025-12-16T00:59:44
V43_cluster_0_2017,Araponga,2016-12-31T00:00:00,1.319915254237288,1.2313032,6.71,validacao,V44,LSTM,"./Treinos/16_12_2025_significancia_features/Modelos/V43_cluster_0_2017_(2017)
Modelo LSTM. Treino: 2012 a 2015. Validação: 2016. Teste: 2017.
Dataset: V44.
Obs: 16_12_2025: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 150 combinações de taxa de aprendizado.
O dataset usado contem os 5 clusters.

Hyperparams:
input_size: -1h: 1lr: 1.0085513452139397e-05batch: 32encoder n layers: 4decoder layers: 1",2025-12-16T00:59:44
V43_cluster_0_2017,Astolfo_Dutra,2016-12-31T00:00:00,1.016666666666667,1.0349737,1.8,validacao,V44,LSTM,"./Treinos/16_12_2025_significancia_features/Modelos/V43_cluster_0_2017_(2017)
Modelo LSTM. Treino: 2012 a 2015. Validação: 2016. Teste: 2017.
Dataset: V44.
Obs: 16_12_2025: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 150 combinações de taxa de aprendizado.
O dataset usado contem os 5 clusters.

Hyperparams:
input_size: -1h: 1lr: 1.0085513452139397e-05batch: 32encoder n layers: 4decoder layers: 1",2025-12-16T00:59:44
V43_cluster_0_2017,Bambui,2016-12-31T00:00:00,1.8000000000000005,1.4412928,19.93,validacao,V44,LSTM,"./Treinos/16_12_2025_significancia_features/Modelos/V43_cluster_0_2017_(2017)
Modelo LSTM. Treino: 2012 a 2015. Validação: 2016. Teste: 2017.
Dataset: V44.
Obs: 16_12_2025: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 150 combinações de taxa de aprendizado.
O dataset usado contem os 5 clusters.

Hyperparams:
input_size: -1h: 1lr: 1.0085513452139397e-05batch: 32encoder n layers: 4decoder layers: 1",2025-12-16T00:59:44
V43_cluster_0_2017,Boa_Esperanca,2016-12-31T00:00:00,1.92,1.2560742,34.58,validacao,V44,LSTM,"./Treinos/16_12_2025_significancia_features/Modelos/V43_cluster_0_2017_(2017)
Modelo LSTM. Treino: 2012 a 2015. Validação: 2016. Teste: 2017.
Dataset: V44.
Obs: 16_12_2025: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 150 combinações de taxa de aprendizado.
O dataset usado contem os 5 clusters.

Hyperparams:
input_size: -1h: 1lr: 1.0085513452139397e-05batch: 32encoder n layers: 4decoder layers: 1",2025-12-16T00:59:44
V43_cluster_0_2017,Bom_Jesus_do_Galho,2016-12-31T00:00:00,1.8000000000000005,0.8611424,52.16,validacao,V44,LSTM,"./Treinos/16_12_2025_significancia_features/Modelos/V43_cluster_0_2017_(2017)
Modelo LSTM. Treino: 2012 a 2015. Validação: 2016. Teste: 2017.
Dataset: V44.
Obs: 16_12_2025: Teste final com dataset V44. Cada cluster tem seu proprio conjunto de features.
Foi realizado um novo ajsute de hiperparametros com o Optuna, para o ajuste foram testados 150 combinações de taxa de aprendizado.
O dataset usado contem os 5 clusters.

Hyperparams:
input_size: -1h: 1lr: 1.0085513452139397e-05batch: 32encoder n layers: 4decoder layers: 1",2025-12-16T00:59:44
